Time resolution is 1 ps
                   0 clk = 1, q = xxxx
                  15 clk = 1, q = 0001
                  25 clk = 1, q = 0010
                  35 clk = 1, q = 0011
                  45 clk = 1, q = 0100
                  55 clk = 1, q = 0101
                  65 clk = 1, q = 0110
                  75 clk = 1, q = 0111
                  85 clk = 1, q = 1000
                  95 clk = 1, q = 1001
                 105 clk = 1, q = 1010
                 115 clk = 1, q = 1011
                 125 clk = 1, q = 1100
                 135 clk = 1, q = 1101
                 145 clk = 1, q = 1110
                 155 clk = 1, q = 1111
                 165 clk = 1, q = 0000
                 175 clk = 1, q = 0001
                 185 clk = 1, q = 0010
                 195 clk = 1, q = 0011
                 205 clk = 1, q = 0100
                 215 clk = 1, q = 0101
                 225 clk = 1, q = 0110
                 235 clk = 1, q = 0111
                 245 clk = 1, q = 1000
                 255 clk = 1, q = 1001
                 265 clk = 1, q = 1010
                 275 clk = 1, q = 1011
                 285 clk = 1, q = 1100
                 295 clk = 1, q = 1101
                 305 clk = 1, q = 1110
                 315 clk = 1, q = 1111
                 325 clk = 1, q = 0000
                 335 clk = 1, q = 0001
                 345 clk = 1, q = 0010
                 355 clk = 1, q = 0011
                 365 clk = 1, q = 0100
                 375 clk = 1, q = 0101
                 385 clk = 1, q = 0110
                 395 clk = 1, q = 0111
                 405 clk = 1, q = 1000
                 415 clk = 1, q = 1001
                 425 clk = 1, q = 1010
                 435 clk = 1, q = 1011
                 445 clk = 1, q = 1100
                 455 clk = 1, q = 1101
                 465 clk = 1, q = 1110
                 475 clk = 1, q = 1111
                 485 clk = 1, q = 0000
                 495 clk = 1, q = 0001
                 505 clk = 1, q = 0010
                 515 clk = 1, q = 0011
                 525 clk = 1, q = 0100
                 535 clk = 1, q = 0101
                 545 clk = 1, q = 0110
                 555 clk = 1, q = 0111
                 565 clk = 1, q = 1000
                 575 clk = 1, q = 1001
                 585 clk = 1, q = 1010
                 595 clk = 1, q = 1011
                 605 clk = 1, q = 1100
                 615 clk = 1, q = 1101
                 625 clk = 1, q = 1110
                 635 clk = 1, q = 1111
                 645 clk = 1, q = 0000
                 655 clk = 1, q = 0001
                 665 clk = 1, q = 0010
                 675 clk = 1, q = 0011
                 685 clk = 1, q = 0100
                 695 clk = 1, q = 0101
                 705 clk = 1, q = 0110
                 715 clk = 1, q = 0111
                 725 clk = 1, q = 1000
                 735 clk = 1, q = 1001
                 745 clk = 1, q = 1010
                 755 clk = 1, q = 1011
                 765 clk = 1, q = 1100
                 775 clk = 1, q = 1101
                 785 clk = 1, q = 1110
                 795 clk = 1, q = 1111
                 805 clk = 1, q = 0000
                 815 clk = 1, q = 0001
                 825 clk = 1, q = 0010
                 835 clk = 1, q = 0011
                 845 clk = 1, q = 0100
                 855 clk = 1, q = 0101
                 865 clk = 1, q = 0110
                 875 clk = 1, q = 0111
                 885 clk = 1, q = 1000
                 895 clk = 1, q = 1001
                 905 clk = 1, q = 1010
                 915 clk = 1, q = 1011
                 925 clk = 1, q = 1100
                 935 clk = 1, q = 1101
                 945 clk = 1, q = 1110
                 955 clk = 1, q = 1111
                 965 clk = 1, q = 0000
                 975 clk = 1, q = 0001
                 985 clk = 1, q = 0010
                 995 clk = 1, q = 0011
